r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	g0	g1	g2	g3	g4	g5	g6	g7	g8	g9	b0	b1	b2	b3	b4	b5	b6	b7	b8	b9	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9
-1.1016788	0.009839445	-1.0712718	2.0555866	2.160286	-1.2550266	-1.9764044	0.40113768	-0.39892244	1.9121983	-2.8630934	-1.5415571	-1.6236609	-2.6725526	-2.0614018	-3.6976914	-3.634405	-3.6881506	-3.2087889	-2.0151784	1.7871352	2.0981388	-0.8749599	0.6227338	2.0405235	1.1037512	-1.3119019	-0.4380102	1.7684737	-0.33136415	1	1	1	1	1	1	1	1	1	1
-1.101658	0.009934406	-1.0712675	2.0555437	2.1602583	-1.2549816	-1.9764416	0.40114424	-0.39895633	1.9122384	-2.8794756	-1.5578706	-1.63999	-2.6889215	-2.0777593	-3.714068	-3.6507878	-3.7045314	-3.2251687	-2.031537	1.7871895	2.0981512	-0.87503344	0.62270707	2.040579	1.1037257	-1.3118658	-0.43803	1.7684432	-0.33131406	1	1	1	1	1	1	1	1	1	1
-1.1016365	0.010027516	-1.0712687	2.0554965	2.1602266	-1.2549402	-1.976475	0.4011397	-0.3989948	1.9122808	-2.8958566	-1.5741878	-1.6563236	-2.7052941	-2.094123	-3.730446	-3.6671727	-3.7209082	-3.241549	-2.047902	1.787247	2.0981674	-0.87510127	0.6226802	2.040633	1.1036997	-1.3118321	-0.43804684	1.7684077	-0.33126092	1	1	1	1	1	1	1	1	1	1
-1.1016129	0.010119223	-1.071274	2.0554466	2.160192	-1.2548996	-1.9765044	0.40112618	-0.3990337	1.9123237	-2.9122326	-1.5905116	-1.6726604	-2.7216747	-2.110492	-3.7468243	-3.6835582	-3.7372842	-3.2579284	-2.0642698	1.7873082	2.098188	-0.8751621	0.6226519	2.040688	1.1036755	-1.3117973	-0.4380616	1.7683692	-0.3312037	1	1	1	1	1	1	1	1	1	1
-1.1015862	0.010210047	-1.0712813	2.0553963	2.160156	-1.2548583	-1.9765311	0.4011055	-0.39906684	1.9123657	-2.9286025	-1.6068422	-1.6889993	-2.738062	-2.1268625	-3.7632034	-3.6999424	-3.7536652	-3.2743053	-2.0806363	1.7873731	2.098212	-0.875218	0.6226222	2.040747	1.1036539	-1.3117598	-0.43807548	1.7683297	-0.33114251	1	1	1	1	1	1	1	1	1	1
-1.101556	0.010300774	-1.0712878	2.055346	2.1601195	-1.2548158	-1.9765579	0.40107906	-0.39909047	1.9124062	-2.9449687	-1.6231784	-1.7053397	-2.7544518	-2.1432326	-3.7795854	-3.716323	-3.770054	-3.2906802	-2.0969994	1.7874401	2.0982385	-0.8752739	0.62259287	2.0408108	1.1036333	-1.3117203	-0.43808866	1.7682916	-0.3310789	1	1	1	1	1	1	1	1	1	1
-1.1015224	0.010392686	-1.0712928	2.0552945	2.1600838	-1.2547729	-1.9765875	0.40104768	-0.39910448	1.9124455	-2.9613361	-1.6395197	-1.7216814	-2.7708397	-2.1596005	-3.795972	-3.7326987	-3.786448	-3.3070545	-2.1133595	1.7875072	2.0982656	-0.8753342	0.62256604	2.0408807	1.103611	-1.3116803	-0.43809977	1.7682563	-0.33101454	1	1	1	1	1	1	1	1	1	1
-1.1014886	0.010487044	-1.0712974	2.0552404	2.1600485	-1.2547315	-1.9766216	0.4010117	-0.39911154	1.9124842	-2.9777105	-1.6558653	-1.7380239	-2.7872224	-2.1759653	-3.8123615	-3.7490718	-3.8028407	-3.3234303	-2.129719	1.7875731	2.0982938	-0.87540054	0.62254256	2.040957	1.1035838	-1.3116412	-0.43810657	1.768225	-0.3309509	1	1	1	1	1	1	1	1	1	1
-1.1014591	0.010584582	-1.0713035	2.0551822	2.1600132	-1.2546953	-1.9766599	0.4009718	-0.39911538	1.912522	-2.9940932	-1.672214	-1.7543669	-2.8035986	-2.1923265	-3.8287487	-3.7654476	-3.8192286	-3.3398092	-2.1460817	1.7876368	2.0983248	-0.8754732	0.6225218	2.04104	1.1035497	-1.3116041	-0.43810704	1.7681981	-0.33088958	1	1	1	1	1	1	1	1	1	1
-1.1014376	0.010686284	-1.0713123	2.05512	2.1599784	-1.2546679	-1.9767004	0.40092918	-0.3991186	1.9125578	-3.010481	-1.688564	-1.7707103	-2.8199704	-2.2086813	-3.8451324	-3.7818322	-3.8356106	-3.3561926	-2.162449	1.7876974	2.0983603	-0.8755511	0.622503	2.0411303	1.1035103	-1.3115705	-0.43810043	1.7681773	-0.33083314	1	1	1	1	1	1	1	1	1	1
-1.1014245	0.010792595	-1.0713227	2.0550551	2.1599448	-1.2546506	-1.9767413	0.4008841	-0.39912152	1.9125905	-3.0268705	-1.7049128	-1.7870554	-2.8363419	-2.225029	-3.8615143	-3.7982268	-3.8519874	-3.3725798	-2.1788194	1.7877543	2.0984013	-0.87563294	0.6224859	2.041228	1.1034696	-1.3115412	-0.43808863	1.7681623	-0.33078396	1	1	1	1	1	1	1	1	1	1
-1.1014184	0.010902979	-1.0713308	2.0549898	2.1599128	-1.2546422	-1.9767824	0.40083677	-0.39912313	1.9126195	-3.0432591	-1.7212594	-1.8034036	-2.852717	-2.241372	-3.877898	-3.8146265	-3.8683624	-3.388968	-2.195191	1.7878062	2.0984476	-0.8757178	0.62247175	2.0413313	1.1034325	-1.3115163	-0.43807444	1.7681509	-0.33074328	1	1	1	1	1	1	1	1	1	1
